name,international_designator,norad_id,launch_date,decay_date,country
STARLINK-31782,2024-080F,59606,1900-01-01 00:00:00,,USA
STARLINK-31755,2024-080G,59607,1900-01-01 00:00:00,,USA
STARLINK-31585,2024-080H,59608,1900-01-01 00:00:00,,USA
STARLINK-31667,2024-080J,59609,1900-01-01 00:00:00,,USA
STARLINK-31729,2024-080K,59610,1900-01-01 00:00:00,,USA
STARLINK-31448,2024-080L,59611,1900-01-01 00:00:00,,USA
STARLINK-31748,2024-080M,59612,1900-01-01 00:00:00,,USA
STARLINK-31746,2024-080N,59613,1900-01-01 00:00:00,,USA
STARLINK-31762,2024-080P,59614,1900-01-01 00:00:00,,USA
STARLINK-31761,2024-080Q,59615,1900-01-01 00:00:00,,USA
STARLINK-31768,2024-080R,59616,1900-01-01 00:00:00,,USA
STARLINK-31769,2024-080S,59617,1900-01-01 00:00:00,,USA
STARLINK-31784,2024-080T,59618,1900-01-01 00:00:00,,USA
STARLINK-31777,2024-080U,59619,1900-01-01 00:00:00,,USA
STARLINK-31771,2024-080V,59620,1900-01-01 00:00:00,,USA
STARLINK-31758,2024-080W,59621,1900-01-01 00:00:00,,USA
STARLINK-31774,2024-080X,59622,1900-01-01 00:00:00,,USA
STARLINK-31763,2024-080Y,59623,1900-01-01 00:00:00,,USA
SZ-17 MODULE,2023-164C,59624,1900-01-01 00:00:00,,USA
LEGION 1,2024-081A,59625,1900-01-01 00:00:00,,USA
LEGION 2,2024-081B,59626,1900-01-01 00:00:00,,USA
CZ-5 R/B,2024-083B,59628,1900-01-01 00:00:00,,USA
STARLINK-31749,2024-082A,59631,1900-01-01 00:00:00,,USA
STARLINK-31781,2024-082B,59632,1900-01-01 00:00:00,,USA
STARLINK-31541,2024-082C,59633,1900-01-01 00:00:00,,USA
STARLINK-31797,2024-082D,59634,1900-01-01 00:00:00,,USA
STARLINK-31798,2024-082E,59635,1900-01-01 00:00:00,,USA
STARLINK-31802,2024-082F,59636,1900-01-01 00:00:00,,USA
STARLINK-31791,2024-082G,59637,1900-01-01 00:00:00,,USA
STARLINK-31727,2024-082H,59638,1900-01-01 00:00:00,,USA
STARLINK-31807,2024-082J,59639,1900-01-01 00:00:00,,USA
STARLINK-31806,2024-082K,59640,1900-01-01 00:00:00,,USA
STARLINK-31804,2024-082L,59641,1900-01-01 00:00:00,,USA
STARLINK-31660,2024-082M,59642,1900-01-01 00:00:00,,USA
STARLINK-31800,2024-082N,59643,1900-01-01 00:00:00,,USA
STARLINK-31789,2024-082P,59644,1900-01-01 00:00:00,,USA
STARLINK-31795,2024-082Q,59645,1900-01-01 00:00:00,,USA
STARLINK-31796,2024-082R,59646,1900-01-01 00:00:00,,USA
STARLINK-31801,2024-082S,59647,1900-01-01 00:00:00,,USA
STARLINK-31790,2024-082T,59648,1900-01-01 00:00:00,,USA
STARLINK-31803,2024-082U,59649,1900-01-01 00:00:00,,USA
STARLINK-31787,2024-082V,59650,1900-01-01 00:00:00,,USA
STARLINK-31277,2024-082W,59651,1900-01-01 00:00:00,,USA
STARLINK-31799,2024-082X,59652,1900-01-01 00:00:00,,USA
STARLINK-31764,2024-082Y,59653,1900-01-01 00:00:00,,USA
STARLINK-31589,2024-084A,59654,1900-01-01 00:00:00,,USA
STARLINK-31665,2024-084B,59655,1900-01-01 00:00:00,,USA
STARLINK-31912,2024-084C,59656,1900-01-01 00:00:00,,USA
STARLINK-31904,2024-084D,59657,1900-01-01 00:00:00,,USA
STARLINK-31858,2024-084E,59658,1900-01-01 00:00:00,,USA
STARLINK-31881,2024-084F,59659,1900-01-01 00:00:00,,USA
STARLINK-31885,2024-084G,59660,1900-01-01 00:00:00,,USA
STARLINK-31880,2024-084H,59661,1900-01-01 00:00:00,,USA
STARLINK-31886,2024-084J,59662,1900-01-01 00:00:00,,USA
STARLINK-31909,2024-084K,59663,1900-01-01 00:00:00,,USA
STARLINK-31910,2024-084L,59664,1900-01-01 00:00:00,,USA
STARLINK-31894,2024-084M,59665,1900-01-01 00:00:00,,USA
STARLINK-31902,2024-084N,59666,1900-01-01 00:00:00,,USA
STARLINK-31913,2024-084P,59667,1900-01-01 00:00:00,,USA
STARLINK-31866,2024-084Q,59668,1900-01-01 00:00:00,,USA
STARLINK-31917,2024-084R,59669,1900-01-01 00:00:00,,USA
STARLINK-31860,2024-084S,59670,1900-01-01 00:00:00,,USA
STARLINK-31854,2024-084T,59671,1900-01-01 00:00:00,,USA
STARLINK-31842,2024-084U,59672,1900-01-01 00:00:00,,USA
STARLINK-31871,2024-084V,59673,1900-01-01 00:00:00,,USA
STARLINK-31875,2024-084W,59674,1900-01-01 00:00:00,,USA
STARLINK-31877,2024-084X,59675,1900-01-01 00:00:00,,USA
STARLINK-31884,2024-084Y,59676,1900-01-01 00:00:00,,USA
2024-085A,2024-085A,59677,1900-01-01 00:00:00,,USA
2024-085B,2024-085B,59678,1900-01-01 00:00:00,,USA
2024-085C,2024-085C,59679,1900-01-01 00:00:00,,USA
2024-085D,2024-085D,59680,1900-01-01 00:00:00,,USA
2024-085E,2024-085E,59681,1900-01-01 00:00:00,,USA
STARLINK-32108,2024-086A,59682,1900-01-01 00:00:00,,USA
STARLINK-32080,2024-086B,59683,1900-01-01 00:00:00,,USA
STARLINK-32091,2024-086C,59684,1900-01-01 00:00:00,,USA
STARLINK-32085,2024-086D,59685,1900-01-01 00:00:00,,USA
STARLINK-32100,2024-086E,59686,1900-01-01 00:00:00,,USA
STARLINK-32089,2024-086F,59687,1900-01-01 00:00:00,,USA
STARLINK-32103,2024-086G,59688,1900-01-01 00:00:00,,USA
STARLINK-32105,2024-086H,59689,1900-01-01 00:00:00,,USA
STARLINK-32106,2024-086J,59690,1900-01-01 00:00:00,,USA
STARLINK-32090,2024-086K,59691,1900-01-01 00:00:00,,USA
STARLINK-32095,2024-086L,59692,1900-01-01 00:00:00,,USA
STARLINK-32088,2024-086M,59693,1900-01-01 00:00:00,,USA
STARLINK-32107,2024-086N,59694,1900-01-01 00:00:00,,USA
STARLINK-32104,2024-086P,59695,1900-01-01 00:00:00,,USA
STARLINK-32094,2024-086Q,59696,1900-01-01 00:00:00,,USA
STARLINK-32099,2024-086R,59697,1900-01-01 00:00:00,,USA
STARLINK-32096,2024-086S,59698,1900-01-01 00:00:00,,USA
STARLINK-32102,2024-086T,59699,1900-01-01 00:00:00,,USA
STARLINK-32092,2024-086U,59700,1900-01-01 00:00:00,,USA
STARLINK-32093,2024-086V,59701,1900-01-01 00:00:00,,USA
STARLINK-32087,2024-086W,59702,1900-01-01 00:00:00,,USA
STARLINK-32086,2024-086X,59703,1900-01-01 00:00:00,,USA
STARLINK-32098,2024-086Y,59704,1900-01-01 00:00:00,,USA
CZ-3B R/B,2024-087C,59707,1900-01-01 00:00:00,,USA
STARLINK-11107 [DTC],2024-088A,59708,1900-01-01 00:00:00,,USA
STARLINK-11088 [DTC],2024-088B,59709,1900-01-01 00:00:00,,USA
STARLINK-11092 [DTC],2024-088C,59710,1900-01-01 00:00:00,,USA
STARLINK-11082 [DTC],2024-088D,59711,1900-01-01 00:00:00,,USA
STARLINK-11108 [DTC],2024-088E,59712,1900-01-01 00:00:00,,USA
STARLINK-11100 [DTC],2024-088F,59713,1900-01-01 00:00:00,,USA
STARLINK-11094 [DTC],2024-088G,59714,1900-01-01 00:00:00,,USA
STARLINK-11101 [DTC],2024-088H,59715,1900-01-01 00:00:00,,USA
STARLINK-11099 [DTC],2024-088J,59716,1900-01-01 00:00:00,,USA
STARLINK-11084 [DTC],2024-088K,59717,1900-01-01 00:00:00,,USA
STARLINK-11103 [DTC],2024-088L,59718,1900-01-01 00:00:00,,USA
STARLINK-11096 [DTC],2024-088M,59719,1900-01-01 00:00:00,,USA
STARLINK-11095 [DTC],2024-088N,59720,1900-01-01 00:00:00,,USA
STARLINK-31834,2024-088P,59721,1900-01-01 00:00:00,,USA
STARLINK-31843,2024-088Q,59722,1900-01-01 00:00:00,,USA
STARLINK-31766,2024-088R,59723,1900-01-01 00:00:00,,USA
STARLINK-31836,2024-088S,59724,1900-01-01 00:00:00,,USA
STARLINK-31820,2024-088T,59725,1900-01-01 00:00:00,,USA
STARLINK-31642,2024-088U,59726,1900-01-01 00:00:00,,USA
STARLINK-31827,2024-088V,59727,1900-01-01 00:00:00,,USA
2024-089A,2024-089A,59728,1900-01-01 00:00:00,,USA
2024-089B,2024-089B,59729,1900-01-01 00:00:00,,USA
